trial_id,case_id,task_id,probe_policy,seed,condition_role,outcome,physical_success,pad_damaged,hidden_capacity_n,requested_task_progress_m,fixed_probe_force_n,minimum_future_load_n,minimum_sufficient_test_target_n,selected_additional_probe_target_n,maximum_actual_probe_force_n,maximum_measured_probe_force_n,maximum_commanded_probe_force_n,maximum_certified_force_n,maximum_actual_future_pad_force_n,probe_time_s,deliberate_probe_time_s,additional_probe_time_s,recovery_time_s,total_trial_time_s,recovery_unload_delay_s,recovery_stable_hold_s,maximum_pad_displacement_m,pad_failure_time_s,pad_failure_phase,final_forward_com_motion_m,maximum_next_foot_clearance_m,simultaneous_progress_hold_s,task_specific_simultaneous_hold_s,task_specific_terminal_minimum_progress_m
progress40_capacity51p5_task_sufficient_seed311,progress40_capacity51p5,progress40,task_sufficient,311,held_out,SUCCESS,True,False,51.5,0.04,52.5,40.56515608439742,49.56615608439742,50.56615608439742,51.051583098697016,50.6472953863472,50.56615608439742,49.00145938493735,40.849833187561146,21.508,12.004,13.302,0.0,57.43800000002423,,0.0,-0.0,,,0.03997516358831638,0.029722788969926847,3.122000000003813,3.122000000003813,0.039973878162188066
progress40_capacity51p5_task_sufficient_seed1201,progress40_capacity51p5,progress40,task_sufficient,1201,held_out,SUCCESS,True,False,51.5,0.04,52.5,40.556009758125974,49.55700975812597,50.55700975812597,51.04174228929802,50.634101622468364,50.55700975812597,48.98680783303401,40.8429984094373,21.506,12.004,13.3,0.0,57.440000000024234,,0.0,-0.0,,,0.039982438108877354,0.02972617420172323,3.122000000003813,3.122000000003813,0.039981118178968024
progress40_capacity55p0_fixed_force_seed311,progress40_capacity55p0,progress40,fixed_force,311,held_out,SUCCESS,True,False,55.0,0.04,52.5,40.56515608439742,49.56615608439742,52.5,53.052893815895146,52.64046454659288,52.5,50.95746480781696,40.914712869418814,21.474,12.004,13.268,0.0,57.368000000024146,,0.0,-0.0,,,0.039880489572486334,0.029656477863337125,3.122000000003813,3.122000000003813,0.03987920414635802
progress40_capacity55p0_fixed_force_seed1201,progress40_capacity55p0,progress40,fixed_force,1201,held_out,SUCCESS,True,False,55.0,0.04,52.5,40.556009758125974,49.55700975812597,52.5,53.052176802706036,52.645486030315844,52.5,50.98396880827526,40.91635151493993,21.472,12.004,13.266,0.0,57.392000000024176,,0.0,-0.0,,,0.0398812496124816,0.02965664220375583,3.122000000003813,3.122000000003813,0.03987992968257227
progress40_capacity55p0_task_sufficient_seed311,progress40_capacity55p0,progress40,task_sufficient,311,held_out,SUCCESS,True,False,55.0,0.04,52.5,40.56515608439742,49.56615608439742,50.56615608439742,51.051583098697016,50.6472953863472,50.56615608439742,49.00145938493735,40.849833187561146,21.508,12.004,13.302,0.0,57.43800000002423,,0.0,-0.0,,,0.03997516358831638,0.029722788969926847,3.122000000003813,3.122000000003813,0.039973878162188066
progress40_capacity55p0_task_sufficient_seed1201,progress40_capacity55p0,progress40,task_sufficient,1201,held_out,SUCCESS,True,False,55.0,0.04,52.5,40.556009758125974,49.55700975812597,50.55700975812597,51.04174228929802,50.634101622468364,50.55700975812597,48.98680783303401,40.8429984094373,21.506,12.004,13.3,0.0,57.440000000024234,,0.0,-0.0,,,0.039982438108877354,0.02972617420172323,3.122000000003813,3.122000000003813,0.039981118178968024
progress44_capacity51p5_fixed_force_seed311,progress44_capacity51p5,progress44,fixed_force,311,held_out,RECOVERED_STOP,False,True,51.5,0.044,52.5,42.04773785287006,51.048737852870055,52.5,51.515172666269414,51.099200262267374,52.5,10.501502493019448,,16.572,9.302,8.366,5.104,43.69600000000744,0.0,3.3500000000040915,0.05999999999999999,38.56800000000117,probe_ramp,0.08512690404916688,,0.0,,
progress44_capacity51p5_fixed_force_seed1201,progress44_capacity51p5,progress44,fixed_force,1201,held_out,RECOVERED_STOP,False,True,51.5,0.044,52.5,42.03850470198027,51.03950470198027,52.5,51.541277066929766,51.12398982520066,52.5,10.509399633377082,,16.576,9.308,8.370000000000001,5.104,43.726000000007474,0.0,3.3500000000040915,0.05999999999999999,38.59800000000121,probe_ramp,0.08515354242808627,,0.0,,
progress44_capacity51p5_task_sufficient_seed311,progress44_capacity51p5,progress44,task_sufficient,311,held_out,RECOVERED_STOP,False,True,51.5,0.044,52.5,42.04773785287006,51.048737852870055,52.048737852870055,51.57543382911743,51.15805971653831,52.048737852870055,10.501502493019448,,16.816,9.540000000000001,8.61,5.104,43.940000000007736,0.0,3.3500000000040915,0.05999999999999999,38.81200000000147,probe_ramp,0.08427508640693002,,0.0,,
progress44_capacity51p5_task_sufficient_seed1201,progress44_capacity51p5,progress44,task_sufficient,1201,held_out,RECOVERED_STOP,False,True,51.5,0.044,52.5,42.03850470198027,51.03950470198027,52.03950470198027,51.560284741549694,51.00807858829417,52.03950470198027,10.509399633377082,,16.816,9.542,8.61,5.104,43.96600000000777,0.0,3.352000000004094,0.05999999999999999,38.8380000000015,probe_ramp,0.08428341425318174,,0.0,,
progress44_capacity55p0_fixed_force_seed311,progress44_capacity55p0,progress44,fixed_force,311,held_out,SUCCESS,True,False,55.0,0.044,52.5,42.04773785287006,51.048737852870055,52.5,53.052893815895146,52.64046454659288,52.5,50.95746480781696,42.27149153276546,21.474,12.004,13.268,0.0,57.29800000002406,,0.0,-0.0,,,0.04376469210370071,0.02964269944604138,3.122000000003813,3.122000000003813,0.04376340667757239
progress44_capacity55p0_fixed_force_seed1201,progress44_capacity55p0,progress44,fixed_force,1201,held_out,SUCCESS,True,False,55.0,0.044,52.5,42.03850470198027,51.03950470198027,52.5,53.052176802706036,52.645486030315844,52.5,50.98396880827526,42.273037629139196,21.472,12.004,13.266,0.0,57.32200000002409,,0.0,-0.0,,,0.043765018347109254,0.02964275297112641,3.122000000003813,3.122000000003813,0.043763698417199924
progress44_capacity55p0_task_sufficient_seed311,progress44_capacity55p0,progress44,task_sufficient,311,held_out,SUCCESS,True,False,55.0,0.044,52.5,42.04773785287006,51.048737852870055,52.048737852870055,52.58570380154368,52.17574189293094,52.048737852870055,50.499909055357946,42.20254511743689,21.48,12.004,13.274000000000001,0.0,57.30400000002407,,0.0,-0.0,,,0.04381477075093289,0.029665862576240584,3.122000000003813,3.122000000003813,0.04381348532480457
progress44_capacity55p0_task_sufficient_seed1201,progress44_capacity55p0,progress44,task_sufficient,1201,held_out,SUCCESS,True,False,55.0,0.044,52.5,42.03850470198027,51.03950470198027,52.03950470198027,52.575686593699594,52.16784173389148,52.03950470198027,50.51644161611801,42.18909041913555,21.478,12.004,13.272,0.0,57.3280000000241,,0.0,-0.0,,,0.04381054326732278,0.029662783523846076,3.122000000003813,3.122000000003813,0.04380922333741345
